Month,Carbondioxide
1959M01,315.42
1959M02,316.32
1959M03,316.49
1959M04,317.56
1959M05,318.13
1959M06,318
1959M07,316.39
1959M08,314.66
1959M09,313.68
1959M10,313.18
1959M11,314.66
1959M12,315.43
1960M01,316.27
1960M02,316.81
1960M03,317.42
1960M04,318.87
1960M05,319.87
1960M06,319.43
1960M07,318.01
1960M08,315.75
1960M09,314
1960M10,313.68
1960M11,314.84
1960M12,316.03
1961M01,316.73
1961M02,317.54
1961M03,318.38
1961M04,319.31
1961M05,320.42
1961M06,319.61
1961M07,318.42
1961M08,316.64
1961M09,314.83
1961M10,315.15
1961M11,315.95
1961M12,316.85
1962M01,317.78
1962M02,318.4
1962M03,319.53
1962M04,320.41
1962M05,320.85
1962M06,320.45
1962M07,319.44
1962M08,317.25
1962M09,316.12
1962M10,315.27
1962M11,316.53
1962M12,317.53
1963M01,318.58
1963M02,318.92
1963M03,319.7
1963M04,321.22
1963M05,322.08
1963M06,321.31
1963M07,319.58
1963M08,317.61
1963M09,316.05
1963M10,315.83
1963M11,316.91
1963M12,318.2
1964M01,319.41
1964M02,320.07
1964M03,320.74
1964M04,321.4
1964M05,322.06
1964M06,321.73
1964M07,320.27
1964M08,318.54
1964M09,316.54
1964M10,316.71
1964M11,317.53
1964M12,318.55
1965M01,319.27
1965M02,320.28
1965M03,320.73
1965M04,321.97
1965M05,322
1965M06,321.71
1965M07,321.05
1965M08,318.71
1965M09,317.65
1965M10,317.14
1965M11,318.71
1965M12,319.25
1966M01,320.46
1966M02,321.43
1966M03,322.22
1966M04,323.54
1966M05,323.91
1966M06,323.59
1966M07,322.26
1966M08,320.21
1966M09,318.48
1966M10,317.94
1966M11,319.63
1966M12,320.87
1967M01,322.17
1967M02,322.34
1967M03,322.88
1967M04,324.25
1967M05,324.83
1967M06,323.93
1967M07,322.39
1967M08,320.76
1967M09,319.1
1967M10,319.23
1967M11,320.56
1967M12,321.8
1968M01,322.4
1968M02,322.99
1968M03,323.73
1968M04,324.86
1968M05,325.41
1968M06,325.19
1968M07,323.97
1968M08,321.92
1968M09,320.1
1968M10,319.96
1968M11,320.97
1968M12,322.48
1969M01,323.52
1969M02,323.89
1969M03,325.04
1969M04,326.01
1969M05,326.67
1969M06,325.96
1969M07,325.13
1969M08,322.9
1969M09,321.61
1969M10,321.01
1969M11,322.08
1969M12,323.37
1970M01,324.34
1970M02,325.3
1970M03,326.29
1970M04,327.54
1970M05,327.54
1970M06,327.21
1970M07,325.98
1970M08,324.42
1970M09,322.91
1970M10,322.9
1970M11,323.85
1970M12,324.96
1971M01,326.01
1971M02,326.51
1971M03,327.01
1971M04,327.62
1971M05,328.76
1971M06,328.4
1971M07,327.2
1971M08,325.28
1971M09,323.2
1971M10,323.4
1971M11,324.64
1971M12,325.85
1972M01,326.6
1972M02,327.47
1972M03,327.58
1972M04,329.56
1972M05,329.9
1972M06,328.92
1972M07,327.89
1972M08,326.17
1972M09,324.68
1972M10,325.04
1972M11,326.34
1972M12,327.39
1973M01,328.37
1973M02,329.4
1973M03,330.14
1973M04,331.33
1973M05,332.31
1973M06,331.9
1973M07,330.7
1973M08,329.15
1973M09,327.34
1973M10,327.02
1973M11,327.99
1973M12,328.48
1974M01,329.18
1974M02,330.55
1974M03,331.32
1974M04,332.48
1974M05,332.92
1974M06,332.08
1974M07,331.02
1974M08,329.24
1974M09,327.28
1974M10,327.21
1974M11,328.29
1974M12,329.41
1975M01,330.23
1975M02,331.24
1975M03,331.87
1975M04,333.14
1975M05,333.8
1975M06,333.42
1975M07,331.73
1975M08,329.9
1975M09,328.4
1975M10,328.17
1975M11,329.32
1975M12,330.59
1976M01,331.58
1976M02,332.39
1976M03,333.33
1976M04,334.41
1976M05,334.71
1976M06,334.17
1976M07,332.88
1976M08,330.77
1976M09,329.14
1976M10,328.77
1976M11,330.14
1976M12,331.52
1977M01,332.75
1977M02,333.25
1977M03,334.53
1977M04,335.9
1977M05,336.57
1977M06,336.1
1977M07,334.76
1977M08,332.59
1977M09,331.41
1977M10,330.98
1977M11,332.24
1977M12,333.68
1978M01,334.8
1978M02,335.22
1978M03,336.47
1978M04,337.59
1978M05,337.84
1978M06,337.72
1978M07,336.37
1978M08,334.51
1978M09,332.6
1978M10,332.37
1978M11,333.75
1978M12,334.79
1979M01,336.05
1979M02,336.59
1979M03,337.79
1979M04,338.71
1979M05,339.3
1979M06,339.12
1979M07,337.56
1979M08,335.92
1979M09,333.74
1979M10,333.7
1979M11,335.13
1979M12,336.56
1980M01,337.84
1980M02,338.19
1980M03,339.9
1980M04,340.6
1980M05,341.29
1980M06,341
1980M07,339.39
1980M08,337.43
1980M09,335.72
1980M10,335.84
1980M11,336.93
1980M12,338.04
1981M01,339.06
1981M02,340.3
1981M03,341.21
1981M04,342.33
1981M05,342.74
1981M06,342.07
1981M07,340.32
1981M08,338.27
1981M09,336.52
1981M10,336.68
1981M11,338.19
1981M12,339.44
1982M01,340.57
1982M02,341.44
1982M03,342.53
1982M04,343.39
1982M05,343.96
1982M06,343.18
1982M07,341.88
1982M08,339.65
1982M09,337.8
1982M10,337.69
1982M11,339.09
1982M12,340.32
1983M01,341.2
1983M02,342.35
1983M03,342.93
1983M04,344.77
1983M05,345.58
1983M06,345.14
1983M07,343.81
1983M08,342.22
1983M09,339.69
1983M10,339.82
1983M11,340.98
1983M12,342.82
1984M01,343.52
1984M02,344.33
1984M03,345.11
1984M04,346.88
1984M05,347.25
1984M06,346.61
1984M07,345.22
1984M08,343.11
1984M09,340.9
1984M10,341.17
1984M11,342.8
1984M12,344.04
1985M01,344.79
1985M02,345.82
1985M03,347.25
1985M04,348.17
1985M05,348.75
1985M06,348.07
1985M07,346.38
1985M08,344.52
1985M09,342.92
1985M10,342.63
1985M11,344.06
1985M12,345.38
1986M01,346.12
1986M02,346.79
1986M03,347.69
1986M04,349.38
1986M05,350.04
1986M06,349.38
1986M07,347.78
1986M08,345.75
1986M09,344.7
1986M10,344.01
1986M11,345.5
1986M12,346.75
1987M01,347.86
1987M02,348.32
1987M03,349.26
1987M04,350.84
1987M05,351.7
1987M06,351.11
1987M07,349.37
1987M08,347.97
1987M09,346.31
1987M10,346.22
1987M11,347.68
1987M12,348.82
1988M01,350.29
1988M02,351.58
1988M03,352.08
1988M04,353.45
1988M05,354.08
1988M06,353.66
1988M07,352.25
1988M08,350.3
1988M09,348.58
1988M10,348.74
1988M11,349.93
1988M12,351.21
1989M01,352.62
1989M02,352.93
1989M03,353.54
1989M04,355.27
1989M05,355.52
1989M06,354.97
1989M07,353.74
1989M08,351.51
1989M09,349.63
1989M10,349.82
1989M11,351.12
1989M12,352.35
1990M01,353.47
1990M02,354.51
1990M03,355.18
1990M04,355.98
1990M05,356.94
1990M06,355.99
1990M07,354.58
1990M08,352.68
1990M09,350.72
1990M10,350.92
1990M11,352.55
1990M12,353.91
