Date,All groups
1925Q3,25.734276
1925Q4,25.813167
1926Q1,25.623829
1926Q2,25.734276
1926Q3,25.765833
1926Q4,25.655385
1927Q1,25.608051
1927Q2,25.513381
1927Q3,25.402934
1927Q4,25.418712
1928Q1,25.418712
1928Q2,25.576494
1928Q3,25.450268
1928Q4,25.576494
1929Q1,25.43449
1929Q2,25.387155
1929Q3,25.455404
1929Q4,25.455404
1930Q1,25.277749
1930Q2,25.125474
1930Q3,24.871681
1930Q4,24.440233
1931Q1,23.653476
1931Q2,23.17127
1931Q3,22.612926
1931Q4,22.536789
1932Q1,22.206858
1932Q2,21.293204
1932Q3,20.836378
1932Q4,20.455689
1933Q1,20.227275
1933Q2,20.201896
1933Q3,20.201896
1933Q4,20.303413
1934Q1,20.40493
1934Q2,20.607964
1934Q3,20.481068
1934Q4,20.557206
1935Q1,20.963274
1935Q2,21.191687
1935Q3,21.267825
1935Q4,21.699273
1936Q1,21.318584
1936Q2,21.724652
1936Q3,22.079962
1936Q4,22.409892
1937Q1,22.790581
1937Q2,23.323546
1937Q3,23.52658
1937Q4,24.034165
1938Q1,23.932648
1938Q2,24.135682
1938Q3,24.161062
1938Q4,24.186441
1939Q1,24.592509
1939Q2,24.947819
1939Q3,25.25237
1939Q4,26.039127
1940Q1,25.709197
1940Q2,26.115265
1940Q3,26.445196
1940Q4,26.749747
1941Q1,26.800505
1941Q2,27.130436
1941Q3,27.231953
1941Q4,27.764917
1942Q1,27.409608
1942Q2,27.841055
1942Q3,28.37402
1942Q4,28.856226
1943Q1,28.500916
1943Q2,28.577054
1943Q3,28.881605
1943Q4,29.262294
1944Q1,29.008501
1944Q2,29.160777
1944Q3,29.363811
1944Q4,29.693742
1945Q1,29.516087
1945Q2,29.541466
1945Q3,29.693742
1945Q4,30.074431
1946Q1,29.795259
1946Q2,29.846017
1946Q3,30.074431
1946Q4,30.023672
1947Q1,29.896776
1947Q2,30.09981
1947Q3,30.607395
1947Q4,33.069184
1948Q1,32.916908
1948Q2,33.297597
1948Q3,33.526011
1948Q4,33.602149
1949Q1,33.602149
1949Q2,33.669353
1949Q3,34.072579
1949Q4,34.206987
1950Q1,34.274192
1950Q2,35.34946
1950Q3,36.525536
1950Q4,37.130374
1951Q1,37.668009
1951Q2,39.280912
1951Q3,40.557793
1951Q4,41.565858
1952Q1,42.103492
1952Q2,42.674729
1952Q3,43.145159
1952Q4,43.48118
1953Q1,43.918008
1953Q2,44.42204
1953Q3,44.926073
1953Q4,45.900535
1954Q1,46.270159
1954Q2,47.043008
1954Q3,47.110212
1954Q4,47.009406
1955Q1,47.647847
1955Q2,48.118277
1955Q3,48.185481
1955Q4,48.185481
1956Q1,48.675736
1956Q2,49.348451
1956Q3,50.405575
1956Q4,50.405575
1957Q1,50.021167
1957Q2,50.741933
1957Q3,51.07829
1957Q4,51.318545
1958Q1,51.366597
1958Q2,51.895158
1958Q3,54.297712
1958Q4,54.634069
1959Q1,54.730172
1959Q2,54.874325
1959Q3,55.450938
1959Q4,55.258733
1960Q1,55.018478
1960Q2,55.11458
1960Q3,55.595091
1960Q4,56.123653
1961Q1,55.883397
1961Q2,55.883397
1961Q3,56.748317
1961Q4,57.32493
1962Q1,57.517134
1962Q2,57.709338
1962Q3,58.141798
1962Q4,58.526206
1963Q1,58.574257
1963Q2,58.814513
1963Q3,59.246972
1963Q4,59.823585
1964Q1,60.063841
1964Q2,60.592402
1964Q3,61.505373
1964Q4,62.514445
1965Q1,62.658599
1965Q2,62.754701
1965Q3,63.571569
1965Q4,64.004029
1966Q1,64.43668
1966Q2,64.816092
1966Q3,65.195503
1966Q4,65.511679
1967Q1,67.155795
1967Q2,68.989616
1967Q3,69.748438
1967Q4,69.811673
1968Q1,70.507261
1968Q2,71.455789
1968Q3,72.277847
1968Q4,73.352845
1969Q1,74.364609
1969Q2,75.186666
1969Q3,75.945489
1969Q4,76.261665
1970Q1,77.905781
1970Q2,79.10725
1970Q3,80.561659
1970Q4,83.84989
1971Q1,85.936652
1971Q2,87.833709
1971Q3,89.541059
1971Q4,91.501351
1972Q1,93.208702
1972Q2,94.346936
1972Q3,95.358699
1972Q4,96.496933
1973Q1,98.7734
1973Q2,101.492514
1973Q3,103.832217
1973Q4,106.29839
1974Q1,108.954269
1974Q2,111.610148
1974Q3,115.783672
1974Q4,119.64102
1975Q1,123.349892
1975Q2,128.255174
1975Q3,132.921173
1975Q4,138.42466
1976Q1,144.526352
1976Q2,150.986967
1976Q3,155.772608
1976Q4,160.079685
1977Q1,164.267121
1977Q2,172.163428
1977Q3,178.26512
1977Q4,184.606094
1978Q1,188.298216
1978Q2,193.28258
1978Q3,198.082339
1978Q4,203.251309
1979Q1,207.866462
1979Q2,217.281373
1979Q3,228.173132
1979Q4,236.849619
1980Q1,246.079923
1980Q2,256.233258
1980Q3,265.463563
1980Q4,275.06308
1981Q1,283.590036
1981Q2,294.867622
1981Q3,306.420271
1981Q4,318.247984
1982Q1,328.425318
1982Q2,344.929102
1982Q3,357.306941
1982Q4,366.934149
1983Q1,369.959843
1983Q2,373.535663
1983Q3,376.561357
1983Q4,380.137177
1984Q1,382.798137
1984Q2,391.161155
1984Q3,402.945407
1984Q4,415.870071
1985Q1,434.116656
1985Q2,456.164612
1985Q3,468.709139
1985Q4,479.35298
1986Q1,490.376958
1986Q2,503.681759
1986Q3,520.407795
1986Q4,566.78453
1987Q1,580.089332
1987Q2,599.09619
1987Q3,608.59962
1987Q4,621.144147
1988Q1,632.168125
1988Q2,637.109908
1988Q3,642.811966
1988Q4,650.414709
1989Q1,657.569271
1989Q2,665.374248
1989Q3,688.789177
1989Q4,697.244568
1990Q1,703.748715
1990Q2,716.106595
1990Q3,723.261157
1990Q4,731.066133
1991Q1,735.619036
1991Q2,736.269451
1991Q3,738.87111
1991Q4,738.220695
1992Q1,741.472769
1992Q2,743.424013
1992Q3,746.025671
1992Q4,747.976916
1993Q1,748.62733
1993Q2,753.180233
1993Q3,757.082722
1993Q4,758.383551
1994Q1,758.383551
1994Q2,761.417085
1994Q3,770.517688
1994Q4,779.61829
1995Q1,788.718893
1995Q2,796.302729
1995Q3,797.819496
1995Q4,802.369797
1996Q1,806.161715
1996Q2,812.228783
1996Q3,816.779084
1996Q4,822.846153
1997Q1,820.571002
1997Q2,821.329386
1997Q3,825.121303
1997Q4,829.671605
1998Q1,831.188372
1998Q2,834.98029
1998Q3,839.530591
1998Q4,832.705139
1999Q1,830.429988
1999Q2,831.946755
1999Q3,835.274542
1999Q4,836.938436
2000Q1,842.762063
2000Q2,848.585691
2000Q3,860.232945
2000Q4,870.216306
2001Q1,868.552413
2001Q2,876.039933
2001Q3,881.031614
2001Q4,886.023295
2002Q1,891.014975
2002Q2,900.166389
2002Q3,904.326123
2002Q4,910.14975
2003Q1,913.477537
2003Q2,913.477537
2003Q3,917.637271
2003Q4,924.292845
2004Q1,927.620632
2004Q2,935.108153
2004Q3,940.93178
2004Q4,949.251248
2005Q1,953.410982
2005Q2,961.730449
2005Q3,972.545757
2005Q4,979.201331
2006Q1,985.024958
2006Q2,1000
2006Q3,1007
2006Q4,1005
2007Q1,1010
2007Q2,1020
2007Q3,1025
2007Q4,1037
2008Q1,1044
2008Q2,1061
2008Q3,1077
2008Q4,1072
2009Q1,1075
2009Q2,1081
2009Q3,1095
2009Q4,1093
2010Q1,1097
2010Q2,1099
2010Q3,1111
2010Q4,1137
2011Q1,1146
2011Q2,1157
2011Q3,1162
2011Q4,1158
2012Q1,1164
