DATE,Australia,CookIslands,Fiji,Samoa,China,India,Thailand,UnitedKingdom,UnitedStates,Other
2000M01,23203,1071,1936,2403,2285,2270,862,5418,4109,30660
2000M02,16546,414,1052,920,1485,1539,547,3023,3520,17925
2000M03,19493,335,1350,682,1288,1104,481,3813,3319,16152
2000M04,28882,552,2205,964,1645,1055,915,6891,5153,23183
2000M05,21637,609,1758,867,1243,755,764,10609,5302,22767
2000M06,26246,844,926,887,1369,630,1113,16382,7087,27904
2000M07,32920,1073,991,941,1468,556,1361,17193,8373,31992
2000M08,29036,924,710,764,1389,645,1103,14251,6827,25787
2000M09,29040,870,1843,896,2119,796,947,13721,8383,28885
2000M10,26465,739,2221,621,2297,1063,880,9485,6724,24660
2000M11,23891,610,1790,559,2350,1224,823,6039,5235,22371
2000M12,27388,779,1548,1363,3998,2372,1189,6755,6116,36220
2001M01,27603,1052,1536,2073,3951,2771,1241,5771,6022,35071
2001M02,17299,596,865,955,2294,1428,670,3662,4431,19373
2001M03,19058,638,812,601,1639,802,443,4043,4122,17210
2001M04,26343,792,1463,553,1798,883,875,6894,5390,23539
2001M05,21205,694,1385,652,1581,581,787,8984,5464,22854
2001M06,24543,887,2565,720,1899,564,1069,12576,7324,28376
2001M07,29679,932,3045,1151,1969,573,1743,13959,8624,31117
2001M08,26215,794,2839,695,1420,710,1354,12527,7209,25972
2001M09,30642,830,2653,658,1921,1063,1372,12062,6962,29574
2001M10,25180,614,2238,578,2202,1228,1174,7825,5211,23527
2001M11,20971,598,1457,450,2934,1492,971,4775,3903,21867
2001M12,24997,841,1915,1394,6054,2435,1313,5591,5070,36413
2002M01,25071,896,1863,1682,5826,2512,1194,4642,4919,34214
2002M02,15035,379,1132,727,3554,1447,726,3127,3890,19509
2002M03,19057,420,1311,519,1986,975,745,3755,3465,18382
2002M04,22364,643,1717,417,2520,812,928,6065,4469,22401
2002M05,19350,607,2091,714,2201,773,805,9200,5252,24231
2002M06,23757,1013,3050,759,2667,663,1171,13154,7186,30859
2002M07,28907,1022,3041,884,2772,795,1412,14243,7938,32498
2002M08,27125,1279,2945,837,2024,875,1289,12811,6539,27014
2002M09,28944,997,2786,717,2480,993,1207,12276,6992,31140
2002M10,25096,940,2373,523,2556,1165,1133,8848,5988,23948
2002M11,21233,663,1467,510,4679,1950,1031,5109,4453,23045
2002M12,23912,888,1772,1469,9633,3032,1292,5888,5805,38889
2003M01,24048,1200,1783,2043,10347,2858,1267,5202,5474,37737
2003M02,14395,424,1090,853,5751,2023,808,2825,4470,22621
2003M03,16839,551,1097,573,2592,1351,529,3174,4166,18926
2003M04,22836,705,1801,582,2421,1144,735,5474,4765,23260
2003M05,21063,698,1644,711,1677,804,581,8269,4848,21671
2003M06,23784,901,2710,715,1681,906,922,12050,5843,26148
2003M07,30593,1104,3250,872,2450,1009,1277,13903,7133,33412
2003M08,27294,1016,2923,684,2410,1026,1224,12580,6831,27273
2003M09,31420,1140,3322,745,3103,1589,1015,12370,7407,32095
2003M10,26391,1008,2555,634,3167,1857,1064,8133,5868,26098
2003M11,24502,661,1689,595,6421,2463,1100,5098,4290,23828
2003M12,27458,1153,2096,1369,13379,3938,1577,6337,5520,42135
2004M01,27433,1064,1881,1652,14102,3558,1506,5311,5619,41970
2004M02,17879,554,1072,664,6608,2309,920,2945,4404,23631
2004M03,21619,510,1264,609,2965,1789,800,4056,4243,20470
2004M04,29060,814,2395,754,3611,1657,1108,7993,5390,27341
2004M05,24080,820,2785,827,3116,1542,928,11317,5783,27205
2004M06,27844,1195,3687,782,4110,1384,1340,15243,7706,35283
2004M07,37285,1465,4537,1211,5351,1253,1994,17115,9386,43002
2004M08,34133,1392,4411,993,3407,1303,1523,14721,8172,34252
2004M09,37561,1586,4567,1267,4402,1876,1601,14269,8620,39465
2004M10,30504,1399,3124,1071,4028,2194,1548,8857,6656,30444
2004M11,25771,1053,2250,812,7129,3080,1389,5292,4917,29355
2004M12,30932,1542,3064,1872,14568,5246,1639,6795,5811,48752
2005M01,32275,1455,3438,2582,14678,5128,1551,5893,5644,47676
2005M02,21081,426,1671,1017,9624,2826,780,3593,4407,27814
2005M03,25385,496,1975,743,4343,1999,719,3883,4618,24850
2005M04,30734,1057,2637,928,4626,2104,1236,7217,6271,30841
2005M05,26707,880,2488,976,3807,1824,873,10571,7307,31485
2005M06,30114,1256,4048,996,4110,1552,1340,14093,8348,37204
2005M07,39683,2015,5377,1686,5467,1673,2020,16970,10121,46658
2005M08,37689,1806,4388,1534,3604,1251,1530,14647,8132,36445
2005M09,36382,1601,4221,1546,4898,1594,1752,14358,8689,39562
2005M10,36061,1493,3839,1232,4785,2118,1691,9852,7161,31467
2005M11,26044,904,2336,1079,6420,3683,1536,6763,4938,26446
2005M12,31958,1569,3094,2216,11999,6638,2060,7928,5984,46035
2006M01,33151,1867,3507,2893,13828,5464,2217,7171,6289,48745
2006M02,20750,624,1826,1298,8750,3201,1158,3572,3905,27110
2006M03,22359,783,1992,1287,3944,1687,832,4349,3944,21751
2006M04,31323,1194,2786,1530,4534,1670,1501,7890,5659,30827
2006M05,26046,1060,2971,1291,3547,1375,1273,11587,6142,30677
2006M06,29873,1502,4028,1400,4715,1315,1777,16411,7770,38609
2006M07,38739,1931,5481,1655,5421,1376,2405,18537,9223,46523
2006M08,33640,1885,4356,1143,3507,1519,1586,16257,7554,36905
2006M09,37059,1842,4413,1485,4611,2101,1580,15402,8650,40926
2006M10,33501,1612,3236,1120,5154,2985,1488,10083,6951,32032
2006M11,27734,1175,1912,1166,6597,3800,1433,6321,4540,28271
2006M12,31941,1502,2433,2442,10701,6852,1898,7836,6161,45886
2007M01,33468,1768,2732,3166,11149,7567,2005,7526,6229,48617
2007M02,20602,776,1442,1208,8147,4133,1350,4508,4192,26355
2007M03,23576,826,1461,1080,4350,2684,995,4493,4105,23846
2007M04,31027,1206,2699,1445,4892,2533,1605,7720,5903,32297
2007M05,28781,1382,2573,1353,4324,2062,1333,11566,6620,34063
2007M06,32414,1672,3701,1427,5344,1776,1925,17655,8462,44612
2007M07,39793,1983,4705,1866,5680,1854,2664,20888,9954,48675
2007M08,36669,1789,3629,1577,5206,1927,2295,17305,8203,38506
2007M09,39818,1787,3915,1821,6181,2171,1933,17015,8999,44289
2007M10,35862,1587,2819,1564,6201,2753,1817,11694,6983,38226
2007M11,30334,1112,1974,1457,6467,4104,1466,6184,5389,30755
2007M12,33424,1771,2937,2613,11102,7446,1771,7877,6189,48330
2008M01,33282,2067,3395,3566,12549,7744,1849,7027,6722,51986
2008M02,21818,956,1893,1373,9129,3967,1187,3520,3959,28564
2008M03,24946,956,1970,1185,5120,2942,1326,4241,3776,24669
2008M04,29872,1213,2592,1309,5474,2271,2010,7538,5807,32187
2008M05,29969,1516,2408,1420,5092,2261,1483,11841,6810,34777
2008M06,32317,1668,3707,1567,4893,2024,1867,16514,8564,42585
2008M07,38955,2003,5022,2002,5312,2215,2567,20376,10904,50132
2008M08,35703,1848,4095,1578,4688,2075,1881,17597,9185,41071
2008M09,34810,1684,3452,1612,5142,2607,1471,15956,9136,42905
2008M10,36949,1727,3343,1628,6146,3253,1847,10435,8230,36581
2008M11,30045,1457,2254,1339,6938,4783,1505,6305,5277,29652
2008M12,34375,1626,2625,2472,11084,7479,2033,7343,6040,48669
2009M01,34374,1622,2125,3008,13046,7085,2183,6443,5848,49487
2009M02,21938,923,1262,1263,8069,4197,1505,3233,3992,26508
2009M03,24904,1129,1348,1194,4755,3121,1235,3976,3920,23198
2009M04,32149,1315,2315,1532,5677,3286,1822,7665,5674,32353
2009M05,28590,1595,2276,1611,5410,2377,1548,10571,6113,33026
2009M06,29593,1891,3406,1589,5531,1921,2101,14773,8010,41692
2009M07,37437,2243,4689,2284,5890,2217,2046,18537,9720,48456
2009M08,35165,1989,4057,1682,4861,2121,1768,15606,7653,38621
2009M09,35123,2023,3820,1642,6033,2533,1852,13918,7341,40613
2009M10,35660,1746,3161,2076,7144,3415,1912,8851,6443,35290
2009M11,27942,1143,2001,1854,7341,4787,1632,5011,4624,30945
2009M12,32128,1457,3148,2589,11141,8170,2325,7136,5204,47903
2010M01,32871,1572,3028,3116,12369,7670,2296,6070,4593,47392
2010M02,21201,825,1251,1615,9899,4801,1196,2933,3413,27851
2010M03,24527,1019,1501,1310,5471,2991,1292,3967,3613,24051
2010M04,31231,1544,2396,1572,5653,2759,1793,6791,6091,33435
2010M05,27945,1464,2341,1362,6022,2260,1069,9985,6699,35373
2010M06,30574,1850,3284,1811,6422,2388,1622,16323,9255,45365
2010M07,39067,2154,4348,2275,6390,2590,2238,19146,10729,51290
2010M08,35238,2127,3961,1783,5273,2086,1766,16183,8886,40915
2010M09,37221,2020,3706,1782,6839,2093,1545,16588,8887,43563
2010M10,36810,1735,3421,1660,7220,2982,1708,9979,7149,37169
2010M11,28378,1363,2098,1401,7588,4486,1557,5331,5133,31828
2010M12,33783,1546,3592,2498,11312,7570,2115,7325,5415,51632
2011M01,32586,1771,3398,3364,13221,7631,2472,6179,5573,52547
2011M02,22931,823,1652,1521,9721,5232,1348,2837,3586,30020
2011M03,27312,937,1511,1328,5837,3561,1255,3424,3702,25045
2011M04,33444,1423,2676,1559,7594,3232,2241,7720,5958,35125
2011M05,29511,1697,2835,1498,6676,2687,1853,11489,6418,39191
2011M06,31383,2139,3915,1523,6500,2260,2336,16201,8721,46665
2011M07,40624,2728,5322,1993,6218,2311,3309,19797,12156,54595
2011M08,36595,2086,4450,1616,5246,2619,2590,15239,9449,43799
2011M09,31550,1951,3255,1582,6526,2858,1673,11789,8553,39756
2011M10,35513,1928,2827,1521,7281,3922,1741,8658,8034,36807
2011M11,31648,1628,2301,1405,7802,5121,1482,5094,5883,32975
2011M12,37006,1657,3129,2422,12479,8766,2223,7329,6334,54032
2012M01,35929,1559,3438,2952,15689,8461,2650,6200,6356,56277
2012M02,24930,969,1377,1188,8858,6213,1650,2985,4078,31338
2012M03,26367,1210,1445,1097,5545,4225,1595,4217,4125,27358
2012M04,34237,1816,2418,1380,6583,3547,2761,8464,7563,37415
2012M05,29306,1719,2775,1773,6288,2740,1989,11892,7696,36767
2012M06,32598,2339,4120,2281,6449,2837,2835,16983,10753,47939
2012M07,40716,2948,5490,2410,6421,2901,3617,17630,13387,54975
2012M08,35274,2397,4177,1685,5194,2812,2801,14845,10825,44671
2012M09,35321,2239,3775,1738,6433,3249,2123,14363,10469,47699
2012M10,39343,2147,3865,1810,7259,3932,2137,9359,9490,40290
